Start,Loc,Duration,dtime,Status,Calendar
2015-01-21 10:00:00,MERIDIAN,0.75,DAY,,Conference Room
2015-01-21 10:00:00,EAST_OAK,3.0,DAY,,Conference Room
2015-01-21 10:00:00,MERIDIAN,3.0,DAY,,Conference Room
2015-01-21 13:00:00,GALLERY,0.5,DAY,,Conference Room
2015-01-21 14:00:00,UPTOWN,1.5,DAY,,Conference Room
2015-01-21 14:00:00,MERIDIAN,1.5,DAY,,Conference Room
2015-01-21 14:00:00,UPTOWN,4.0,DAY,,Conference Room
2015-01-21 14:00:00,MERIDIAN,4.0,DAY,,Conference Room
2015-01-21 14:15:00,EAST_OAK,1.5,DAY,,Conference Room
2015-01-21 16:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-01-21 17:30:00,GALLERY,1.75,EVENING,,Conference Room
2015-01-21 18:00:00,EAST_OAK,1.0,EVENING,,Conference Room
2015-01-21 18:30:00,ATRIUM,2.0,EVENING,HOLD,HUB Oakland Events
2015-01-21 18:30:00,UPTOWN,2.0,EVENING,HOLD,HUB Oakland Events
2015-01-21 18:30:00,ATRIUM,1.0,EVENING,HOLD,Conference Room
2015-01-21 18:30:00,UPTOWN,1.0,EVENING,HOLD,Conference Room
2015-01-22 09:30:00,GALLERY,1.25,DAY,,Conference Room
2015-01-22 11:00:00,MERIDIAN,1.0,DAY,,Conference Room
2015-01-22 11:30:00,GALLERY,1.5,DAY,,Conference Room
2015-01-22 12:00:00,UPTOWN,1.0,DAY,,Conference Room
2015-01-22 13:00:00,MEDITATION,2.0,DAY,,Conference Room
2015-01-22 13:00:00,MERIDIAN,2.0,DAY,,Conference Room
2015-01-22 13:00:00,MEDITATION,3.0,DAY,,Conference Room
2015-01-22 13:00:00,MERIDIAN,3.0,DAY,,Conference Room
2015-01-22 15:00:00,GALLERY,3.0,DAY,,Conference Room
2015-01-22 15:00:00,DOWNTOWN,3.0,DAY,,Conference Room
2015-01-22 15:00:00,GALLERY,4.0,DAY,,Conference Room
2015-01-22 15:00:00,DOWNTOWN,4.0,DAY,,Conference Room
2015-01-22 18:30:00,UPTOWN,1.5,EVENING,,Conference Room
2015-01-23 08:00:00,MERIDIAN,14.0,DAY,,Conference Room
2015-01-23 09:00:00,GALLERY,2.0,DAY,,Conference Room
2015-01-23 09:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-01-23 09:00:00,GALLERY,8.5,DAY,,Conference Room
2015-01-23 09:00:00,UPTOWN,8.5,DAY,,Conference Room
2015-01-23 11:00:00,GALLERY,2.0,DAY,,Conference Room
2015-01-23 11:30:00,DOWNTOWN,1.0,DAY,,Conference Room
2015-01-23 12:30:00,KITCHEN,1.0,DAY,,HUB Oakland Events
2015-01-23 13:00:00,GALLERY,1.5,DAY,,Conference Room
